PathwayID,PathwayName,Layer
R-HSA-1222556,ROS and RNS production in phagocytes,2
R-HSA-1226099,Signaling by FGFR in disease,2
R-HSA-1227986,Signaling by ERBB2,2
R-HSA-1227990,Signaling by ERBB2 in Cancer,2
R-HSA-1234174,Cellular response to hypoxia,2
R-HSA-1236394,Signaling by ERBB4,2
R-HSA-1237044,Erythrocytes take up carbon dioxide and release oxygen,2
R-HSA-1247673,Erythrocytes take up oxygen and release carbon dioxide,2
R-HSA-1257604,PIP3 activates AKT signaling,2
R-HSA-1296052,Ca2+ activated K+ channels,2
R-HSA-1296061,HCN channels,2
R-HSA-1296065,Inwardly rectifying K+ channels,2
R-HSA-1296072,Voltage gated Potassium channels,2
R-HSA-1296346,Tandem pore domain potassium channels,2
R-HSA-1300642,Sperm Motility And Taxes,2
R-HSA-1300645,Acrosome Reaction and Sperm:Oocyte Membrane Binding,2
R-HSA-1369007,Mitochondrial ABC transporters,2
R-HSA-1369062,ABC transporters in lipid homeostasis,2
R-HSA-140834,Extrinsic Pathway of Fibrin Clot Formation,2
R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,2
R-HSA-140875,Common Pathway of Fibrin Clot Formation,2
R-HSA-1433557,Signaling by SCF-KIT,2
R-HSA-1433617,Regulation of signaling by NODAL,2
R-HSA-1442490,Collagen degradation,2
R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,2
R-HSA-1483257,Phospholipid metabolism,2
R-HSA-1489509,DAG and IP3 signaling,2
R-HSA-1502540,Signaling by Activin,2
R-HSA-156580,Phase II - Conjugation of compounds,2
R-HSA-156842,Eukaryotic Translation Elongation,2
R-HSA-157579,Telomere Maintenance,2
R-HSA-157858,Gap junction trafficking and regulation,2
R-HSA-1592389,Activation of Matrix Metalloproteinases,2
R-HSA-1614635,Sulfur amino acid metabolism,2
R-HSA-1630316,Glycosaminoglycan metabolism,2
R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins,2
R-HSA-163200,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",2
R-HSA-163282,Mitochondrial transcription initiation,2
R-HSA-163316,Mitochondrial transcription termination,2
R-HSA-163358,PKA-mediated phosphorylation of key metabolic factors,2
R-HSA-163359,Glucagon signaling in metabolic regulation,2
R-HSA-163680,AMPK inhibits chREBP transcriptional activation activity,2
R-HSA-163754,Insulin effects increased synthesis of Xylulose-5-Phosphate,2
R-HSA-163765,ChREBP activates metabolic gene expression,2
R-HSA-163767,PP2A-mediated dephosphorylation of key metabolic factors,2
R-HSA-163841,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",2
R-HSA-1643713,Signaling by EGFR in Cancer,2
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,2
R-HSA-165181,Inhibition of TSC complex formation by PKB,2
R-HSA-166208,mTORC1-mediated signalling,2
R-HSA-166520,Signaling by NTRKs,2
R-HSA-166658,Complement cascade,2
R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",2
R-HSA-168898,Toll-like Receptor Cascades,2
R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,2
R-HSA-169911,Regulation of Apoptosis,2
R-HSA-170834,Signaling by TGF-beta Receptor Complex,2
R-HSA-177929,Signaling by EGFR,2
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,2
R-HSA-1834949,Cytosolic sensors of pathogen-associated DNA ,2
R-HSA-1855156,IPs transport between ER lumen and nucleus,2
R-HSA-1855167,Synthesis of pyrophosphates in the cytosol,2
R-HSA-1855170,IPs transport between nucleus and cytosol,2
R-HSA-1855183,"Synthesis of IP2, IP, and Ins in the cytosol",2
R-HSA-1855184,IPs transport between cytosol and ER lumen,2
R-HSA-1855191,Synthesis of IPs in the nucleus,2
R-HSA-1855192,IPs transport between nucleus and ER lumen,2
R-HSA-1855196,IP3 and IP4 transport between cytosol and nucleus,2
R-HSA-1855204,Synthesis of IP3 and IP4 in the cytosol,2
R-HSA-1855215,IPs transport between ER lumen and cytosol,2
R-HSA-1855229,IP6 and IP7 transport between cytosol and nucleus,2
R-HSA-1855231,Synthesis of IPs in the ER lumen,2
R-HSA-186797,Signaling by PDGF,2
R-HSA-189085,Digestion of dietary carbohydrate,2
R-HSA-189200,Cellular hexose transport,2
R-HSA-189451,Heme biosynthesis,2
R-HSA-189483,Heme degradation,2
R-HSA-190236,Signaling by FGFR,2
R-HSA-1912422,Pre-NOTCH Expression and Processing,2
R-HSA-191859,snRNP Assembly,2
R-HSA-192456,Digestion of dietary lipid,2
R-HSA-193704,p75 NTR receptor-mediated signalling,2
R-HSA-194138,Signaling by VEGF,2
R-HSA-194315,Signaling by Rho GTPases,2
R-HSA-195253,Degradation of beta-catenin by the destruction complex,2
R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,2
R-HSA-1980143,Signaling by NOTCH1,2
R-HSA-1980145,Signaling by NOTCH2,2
