PathwayID,PathwayName,GeneSymbol
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UBCEP1
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UBCEP2
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UBCH8
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UBE1L
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UBE2
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UBE2L6
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UCRP
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UFD1
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UFD1L
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UNQ1880/PRO4323
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,USP10
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,USP43
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,VCP
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,XPV
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,ZNF147
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,ZNF363
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,CDT2
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,CDW1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,CHRAC17
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,CUL4A
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,CUL4B
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,DCAF2
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,DDB1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,DPE2
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,DTL
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,KIAA0039
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,KIAA0695
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,KIAA1449
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,L2DTL
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,PCNA
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,POLD
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,POLD1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,POLD2
